ages Centile1 Centile2 Centile3 Centile4 Centile5 Centile6 Centile7 Centile8 Centile9 Centile10 Centile11 Centile12 Centile13 Centile14 Centile15 Centile16 Centile17 Centile18 Centile19 Centile20 Centile21 Centile22 Centile23 Centile24 Centile25 Centile26 Centile27 Centile28 Centile29 Centile30 Centile31 Centile32 Centile33 Centile34 Centile35 Centile36 Centile37 Centile38 Centile39 Centile40 Centile41 Centile42 Centile43 Centile44 Centile45 Centile46 Centile47 Centile48 Centile49 Centile50 Centile51 Centile52 Centile53 Centile54 Centile55 Centile56 Centile57 Centile58 Centile59 Centile60 Centile61 Centile62 Centile63 Centile64 Centile65 Centile66 Centile67 Centile68 Centile69 Centile70 Centile71 Centile72 Centile73 Centile74 Centile75 Centile76 Centile77 Centile78 Centile79 Centile80 Centile81 Centile82 Centile83 Centile84 Centile85 Centile86 Centile87 Centile88 Centile89 Centile90 Centile91 Centile92 Centile93 Centile94 Centile95 Centile96 Centile97 Centile98 Centile99
32 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0
33 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0 33.0
34 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0
35 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0
36 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0 36.0
37 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0 37.0
38 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0 38.0
39 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0
40 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0
41 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0 41.0
42 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0
43 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0
44 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0
45 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0
46 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0
47 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0
48 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0 48.0
49 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0 49.0
50 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0
51 51.05822001563679 51.05233897477111 51.04735833121905 51.04228947749264 51.04000838894064 51.03838700169371 51.035473389493674 51.03372158231114 51.03258601336063 51.032512114911796 51.03134939446256 51.02880015674307 51.02890496623289 51.02800701041643 51.02602976890843 51.02459616155727 51.024460952435525 51.02510130965969 51.02611098602487 51.02448651471534 51.02247206356897 51.02177433821107 51.021866656140986 51.021521479708746 51.020193653909985 51.020173067990754 51.01796961212981 51.01713520928683 51.01669058190581 51.01536643347809 51.01624932619211 51.015482219997146 51.01644330009776 51.01656813382228 51.013756753957054 51.01158684432499 51.010590359958655 51.01103608027212 51.00946336454375 51.009873153818106 51.009588432141555 51.008795035882365 51.010019612980436 51.00873666547198 51.005825250339356 51.00635133448401 51.00719692437449 51.00490467282823 51.004991159207655 51.00406603214348 51.00232153516496 51.00291653206216 51.002573828225735 51.00243155417766 51.00228534739939 51.00076648698838 50.99963142935178 50.99984775482232 50.9989833088989 50.99696745176566 50.99845687524512 50.99992534353159 50.99807625535332 50.99763286273133 50.998291932049646 50.9982177146919 50.99837871351764 50.997568936633634 50.99538308947406 50.99464987999707 50.99496615805897 50.99612278915931 50.996910951288136 50.99703099619782 50.99655985892786 50.99443206930537 50.99443451137567 50.99477985539447 50.99251779707906 50.99173036953676 50.99098443655115 50.989165328005555 50.98910814057345 50.98936392722667 50.98860300180593 50.98810209457509 50.98812521376274 50.98786644760708 50.988235937964276 50.98606165967311 50.98392558525802 50.98369752483244 50.983473434074995 50.98336289029785 50.98292990307846 50.981260764958826 50.98032484424339 50.97838590805469 50.97405909161155
52 52.116440031273584 52.104677949542214 52.0947166624381 52.084578954985275 52.08001677788128 52.07677400338741 52.070946778987356 52.06744316462228 52.06517202672126 52.0650242298236 52.06269878892511 52.057600313486134 52.05780993246579 52.05601402083286 52.05205953781687 52.04919232311454 52.048921904871044 52.05020261931937 52.052221972049736 52.04897302943069 52.04494412713794 52.04354867642214 52.04373331228197 52.04304295941749 52.04038730781996 52.040346135981515 52.03593922425962 52.03427041857365 52.033381163811626 52.030732866956185 52.03249865238422 52.03096443999429 52.032886600195525 52.033136267644565 52.0275135079141 52.02317368864998 52.02118071991731 52.02207216054424 52.0189267290875 52.019746307636204 52.01917686428312 52.01759007176473 52.02003922596087 52.01747333094395 52.01165050067872 52.012702668968025 52.01439384874898 52.009809345656464 52.00998231841531 52.008132064286954 52.00464307032992 52.00583306412431 52.00514765645147 52.00486310835532 52.00457069479879 52.001532973976765 51.99926285870356 51.999695509644646 51.99796661779779 51.993934903531326 51.996913750490236 51.99985068706317 51.99615251070664 51.99526572546266 51.99658386409929 51.99643542938379 51.996757427035284 51.99513787326727 51.99076617894812 51.98929975999415 51.989932316117944 51.99224557831862 51.99382190257627 51.994061992395636 51.99311971785571 51.988864138610744 51.98886902275135 51.98955971078894 51.98503559415811 51.98346073907352 51.98196887310231 51.9783306560111 51.97821628114689 51.97872785445334 51.977206003611855 51.97620418915018 51.97625042752549 51.975732895214165 51.976471875928546 51.972123319346224 51.967851170516035 51.96739504966489 51.96694686814999 51.9667257805957 51.965859806156914 51.962521529917645 51.96064968848679 51.95677181610939 51.94811818322311
53 53.174660046910375 53.157016924313325 53.142074993657154 53.12686843247792 53.12002516682192 53.11516100508112 53.10642016848103 53.10116474693342 53.09775804008188 53.097536344735396 53.09404818338767 53.086400470229194 53.08671489869868 53.08402103124929 53.078089306725296 53.0737884846718 53.07338285730657 53.07530392897906 53.078332958074604 53.07345954414603 53.06741619070691 53.06532301463321 53.065599968422966 53.06456443912624 53.06058096172995 53.06051920397227 53.05390883638944 53.051405627860476 53.050071745717446 53.04609930043428 53.04874797857633 53.04644665999144 53.04932990029328 53.04970440146684 53.041270261871155 53.03476053297497 53.03177107987597 53.03310824081636 53.02839009363125 53.02961946145431 53.02876529642467 53.0263851076471 53.030058838941315 53.02620999641593 53.017475751018075 53.019054003452034 53.02159077312347 53.014714018484696 53.01497347762296 53.01219809643043 53.006964605494886 53.00874959618647 53.007721484677205 53.007294662532985 53.00685604219819 53.00229946096515 52.99889428805534 52.999543264466965 52.99694992669669 52.990902355296996 52.995370625735355 52.99977603059477 52.99422876605996 52.99289858819399 52.99487579614894 52.994653144075684 52.99513614055292 52.9927068099009 52.98614926842218 52.983949639991216 52.98489847417692 52.988368367477925 52.99073285386441 52.99109298859346 52.98967957678357 52.98329620791611 52.983303534127025 52.98433956618341 52.97755339123717 52.97519110861028 52.97295330965346 52.96749598401666 52.96732442172034 52.96809178168001 52.96580900541778 52.96430628372527 52.964375641288235 52.963599342821254 52.964707813892815 52.958184979019336 52.951776755774056 52.95109257449732 52.950420302224984 52.95008867089355 52.94878970923537 52.94378229487647 52.94097453273018 52.93515772416408 52.92217727483466
54 54.23288006254717 54.209355899084436 54.189433324876205 54.16915790997056 54.16003355576256 54.15354800677483 54.141893557974704 54.13488632924456 54.130344053442506 54.1300484596472 54.12539757785022 54.11520062697226 54.115619864931574 54.112028041665724 54.104119075633726 54.09838464622907 54.097843809742095 54.10040523863874 54.10444394409947 54.09794605886138 54.08988825427587 54.08709735284428 54.08746662456395 54.08608591883498 54.080774615639925 54.080692271963024 54.07187844851925 54.068540837147296 54.06676232762326 54.06146573391238 54.06499730476844 54.061928879988585 54.06577320039104 54.06627253528912 54.05502701582821 54.04634737729996 54.04236143983463 54.04414432108848 54.037853458175 54.03949261527241 54.038353728566236 54.035180143529466 54.04007845192175 54.03494666188791 54.02330100135743 54.02540533793604 54.02878769749796 54.01961869131293 54.019964636830615 54.01626412857391 54.009286140659846 54.01166612824863 54.01029531290295 54.009726216710646 54.00914138959758 54.00306594795353 53.99852571740713 53.99939101928929 53.995933235595594 53.98786980706266 53.993827500980466 53.99970137412635 53.99230502141328 53.99053145092532 53.993167728198586 53.992870858767574 53.99351485407057 53.990275746534536 53.98153235789624 53.978599519988286 53.979864632235895 53.98449115663724 53.987643805152544 53.98812398479128 53.986239435711425 53.97772827722149 53.977738045502704 53.97911942157788 53.970071188316226 53.96692147814704 53.963937746204614 53.95666131202221 53.956432562293784 53.95745570890668 53.95441200722371 53.95240837830036 53.952500855050985 53.95146579042834 53.95294375185709 53.94424663869245 53.93570234103207 53.93479009932977 53.93389373629997 53.9334515611914 53.931719612313834 53.92504305983529 53.92129937697358 53.913543632218776 53.89623636644622
55 55.29110007818396 55.26169487385554 55.23679165609526 55.211447387463195 55.2000419447032 55.19193500846853 55.177366947468386 55.168607911555696 55.162930066803135 55.162560574558995 55.15674697231278 55.14400078371533 55.14452483116447 55.14003505208216 55.13014884454216 55.12298080778634 55.12230476217761 55.12550654829843 55.13055493012434 55.122432573576724 55.11236031784484 55.10887169105535 55.10933328070494 55.10760739854373 55.10096826954991 55.100865339953785 55.08984806064906 55.08567604643412 55.08345290952907 55.07683216739047 55.08124663096055 55.077411099985724 55.082216500488805 55.082840669111405 55.068783769785256 55.05793422162495 55.052951799793284 55.0551804013606 55.04731682271875 55.049365769090514 55.04794216070779 55.04397517941183 55.05009806490219 55.04368332735989 55.029126251696795 55.03175667242006 55.035984621872444 55.02452336414116 55.02495579603827 55.020330160717386 55.011607675824806 55.01458266031078 55.01286914112868 55.01215777088831 55.011426736996974 55.003832434941906 54.998157146758906 54.99923877411161 54.99491654449449 54.98483725882832 54.992284376225584 54.99962671765794 54.9903812767666 54.988164313656654 54.99145966024823 54.99108857345947 54.99189356758821 54.98784468316817 54.9769154473703 54.973249399985356 54.97483079029487 54.98061394579655 54.98455475644068 54.985154980989094 54.982799294639285 54.972160346526856 54.97217255687838 54.97389927697235 54.962588985395286 54.958651847683804 54.954922182755766 54.94582664002777 54.945540702867234 54.94681963613334 54.94301500902964 54.94051047287546 54.94062606881373 54.93933223803542 54.94117968982137 54.93030829836556 54.91962792629009 54.91848762416221 54.917367170374966 54.91681445148925 54.91464951539229 54.906303824794115 54.90162422121697 54.891929540273466 54.87029545805777
56 56.349320093820744 56.31403384862665 56.28414998731431 56.25373686495583 56.24005033364384 56.23032201016224 56.21284033696206 56.20232949386684 56.195516080163756 56.19507268947079 56.18809636677533 56.172800940458394 56.17342979739736 56.16804206249859 56.15617861345059 56.1475769693436 56.14676571461314 56.15060785795812 56.15666591614921 56.14691908829207 56.13483238141381 56.13064602926642 56.131199936845924 56.12912887825247 56.121161923459894 56.12103840794454 56.10781767277887 56.102811255720944 56.100143491434885 56.092198600868564 56.09749595715266 56.09289331998287 56.09865980058657 56.09940880293369 56.08254052374231 56.06952106594994 56.06354215975194 56.06621648163272 56.0567801872625 56.05923892290862 56.05753059284935 56.052770215294196 56.06011767788262 56.05241999283186 56.03495150203615 56.03810800690407 56.04318154624694 56.02942803696939 56.029946955245926 56.02439619286086 56.013929210989765 56.01749919237294 56.01544296935442 56.01458932506597 56.01371208439637 56.00459892193029 55.997788576110686 55.99908652893394 55.99389985339339 55.981804710593984 55.9907412514707 55.999552061189526 55.98845753211992 55.98579717638798 55.98975159229788 55.98930628815136 55.990272281105845 55.985413619801804 55.97229853684436 55.96789927998243 55.969796948353846 55.97673673495586 55.981465707728816 55.982185977186916 55.979359153567145 55.966592415832224 55.966607068254056 55.968679132366816 55.95510678247434 55.950382217220564 55.945906619306925 55.934991968033316 55.93464884344068 55.93618356336001 55.931618010835564 55.92861256745054 55.92875128257647 55.9271986856425 55.92941562778564 55.91636995803867 55.90355351154811 55.902185148994654 55.90084060444996 55.9001773417871 55.89757941847075 55.887564589752934 55.88194906546036 55.87031544832816 55.844354549669326
57 57.407540109457535 57.36637282339776 57.331508318533366 57.29602634244847 57.280058722584485 57.26870901185595 57.248313726455734 57.23605107617798 57.228102093524384 57.227584804382595 57.21944576123789 57.20160109720146 57.202334763630255 57.196049072915024 57.18220838235902 57.17217313090087 57.171226667048664 57.1757091676178 57.182776902174076 57.171405603007415 57.15730444498278 57.15242036747749 57.15306659298692 57.150650357961226 57.14135557736987 57.14121147593529 57.12578728490868 57.11994646500777 57.1168340733407 57.107565034346656 57.11374528334477 57.10837553998002 57.11510310068433 57.11597693675596 57.096297277699364 57.08110791027493 57.074132519710595 57.07725256190484 57.066243551806245 57.06911207672672 57.06711902499091 57.06156525117656 57.07013729086306 57.06115665830384 57.04077675237551 57.04445934138808 57.050378470621425 57.034332709797624 57.03493811445358 57.02846222500434 57.016250746154725 57.0204157244351 57.01801679758015 57.01702087924363 57.01599743179576 57.00536540891867 56.997420005462466 56.998934283756256 56.99288316229229 56.97877216235965 56.98919812671582 56.99947740472111 56.986533787473235 56.98343003911931 56.98804352434753 56.98752400284326 56.98865099462349 56.98298255643544 56.967681626318424 56.9625491599795 56.96476310641282 56.972859524115165 56.97837665901696 56.97921697338474 56.975919012495 56.9610244851376 56.96104157962973 56.963458987761285 56.9476245795534 56.942112586757325 56.93689105585808 56.92415729603887 56.923756984014126 56.92554749058668 56.92022101264149 56.91671466202564 56.91687649633922 56.915065133249584 56.917651565749914 56.902431617711784 56.887479096806125 56.88588267382709 56.884314038524955 56.88354023208495 56.880509321549205 56.86882535471176 56.86227390970376 56.848701356382854 56.81841364128088
